nodes,workload,access_pattern,file_sharing,process_grouping,rs,"('wo flush', 'best')","('wo flush', 'best_time')","('wo flush', 'worst')","('wo flush', 'worst_time')","('w flush', 'best')","('w flush', 'best_time')","('w flush', 'worst')","('w flush', 'worst_time')",improvement,improvement_f
16,update,seq,fpp,same,65536,MPIIO-shm,0.013507,MPIIO-pfs,0.048905,MPIIO-shm,2.0449740000000003,MPIIO-pfs,0.048905,3.6207151847190344,95.79187451342236
16,update,seq,fpp,same,1048576,STDIO-shm,0.165782,POSIX-pfs,1.804417,STDIO-shm,4.127685,POSIX-pfs,1.804417,10.884275735604588,10.058154282058315
16,wo,seq,fpp,same,4096,STDIO-shm,0.003839,MPIIO-bb,0.02141328,STDIO-shm,1.6659,MPIIO-bb,1.75600128,5.577827559260224,378.2927614125754
16,wo,seq,fpp,same,65536,POSIX-shm,0.014449,STDIO-bb,0.06337295999999999,POSIX-shm,2.223544,STDIO-bb,1.96578996,4.385975500034604,160.1388622111745
16,wo,seq,fpp,same,1048576,MPIIO-shm,0.227322,MPIIO-pfs,1.117286,MPIIO-shm,5.742641,MPIIO-pfs,1.117286,4.914992829554553,9.128924108988015
16,worm,random,fpp,prod-cons inter node,4096,STDIO-pfs,0.009386,MPIIO-pfs,0.014782,STDIO-pfs,0.009386,MPIIO-pfs,0.014782,1.574898785425101,1.574898785425101
16,worm,random,fpp,prod-cons inter node,65536,POSIX-pfs,0.034297999999999995,MPIIO-pfs,0.054078999999999995,POSIX-pfs,0.034297999999999995,MPIIO-pfs,0.054078999999999995,1.5767391684646337,1.5767391684646337
16,worm,random,fpp,prod-cons inter node,1048576,STDIO-pfs,2.009678,MPIIO-pfs,3.770077,STDIO-pfs,2.009678,MPIIO-pfs,3.770077,1.8759607260466602,1.8759607260466602
16,worm,random,fpp,prod-cons same node,4096,STDIO-bb,0.0016598399999999997,MPIIO-pfs,0.010237,STDIO-bb,1.37046784,MPIIO-pfs,0.010237,6.167461924040873,261.5751121076233
16,worm,random,fpp,prod-cons same node,65536,STDIO-shm,0.021387,POSIX-pfs,0.051855,STDIO-shm,1.661006,POSIX-pfs,0.051855,2.424603731238603,68.66066368625741
16,worm,random,fpp,prod-cons same node,1048576,POSIX-shm,0.297708,STDIO-pfs,1.100215,POSIX-shm,2.661004,STDIO-pfs,1.100215,3.6956178537358757,5.622299098163065
16,worm,random,fpp,same,4096,MPIIO-bb,0.00426048,MPIIO-pfs,0.017316,MPIIO-bb,1.5628744799999998,MPIIO-pfs,0.017316,4.064330779630465,214.64207371007373
16,worm,random,fpp,same,65536,POSIX-pfs,0.033057,MPIIO-bb,0.08439311999999999,POSIX-pfs,0.033057,MPIIO-bb,1.8581551200000002,2.55295761865868,86.17705780923859
16,worm,random,fpp,same,1048576,STDIO-shm,0.530929,MPIIO-pfs,4.974429,STDIO-shm,4.555141000000001,MPIIO-pfs,4.974429,9.369292315921715,2.1123091909373017
16,worm,seq,fpp,prod-cons inter node,4096,STDIO-pfs,0.01029,POSIX-pfs,0.012261,STDIO-pfs,0.01029,POSIX-pfs,0.012261,1.1915451895043732,1.1915451895043732
16,worm,seq,fpp,prod-cons inter node,65536,POSIX-pfs,0.034325,STDIO-pfs,0.0415,POSIX-pfs,0.034325,STDIO-pfs,0.0415,1.2090313182811363,1.2090313182811363
16,worm,seq,fpp,prod-cons inter node,1048576,POSIX-pfs,1.6609319999999999,STDIO-pfs,2.028447,POSIX-pfs,1.6609319999999999,STDIO-pfs,2.028447,1.221270347009992,1.221270347009992
16,worm,seq,fpp,prod-cons same node,4096,POSIX-bb,0.0016564799999999997,MPIIO-pfs,0.011522000000000001,POSIX-bb,1.75958148,MPIIO-pfs,0.011522000000000001,6.955713319810685,389.53210084033617
16,worm,seq,fpp,prod-cons same node,65536,POSIX-shm,0.021235,STDIO-bb,0.04683168,POSIX-shm,1.670626,STDIO-bb,1.7376576799999999,2.205400518012715,68.64649599172486
16,worm,seq,fpp,prod-cons same node,1048576,POSIX-shm,0.297179,STDIO-pfs,0.8890450000000001,POSIX-shm,2.9855329999999998,STDIO-pfs,0.8890450000000001,2.9916144815077783,4.952271460761949
16,worm,seq,fpp,same,4096,MPIIO-bb,0.0038438399999999994,MPIIO-pfs,0.017394,MPIIO-bb,1.9795808400000001,MPIIO-pfs,0.017394,4.525162337662338,260.34949894841026
16,worm,seq,fpp,same,65536,POSIX-pfs,0.031963,MPIIO-bb,0.08434944,POSIX-pfs,0.031963,MPIIO-bb,2.07120444,2.6389713105778556,89.81206394894097
16,worm,seq,fpp,same,1048576,STDIO-shm,0.532659,POSIX-pfs,2.7584429999999998,STDIO-shm,4.156496,POSIX-pfs,2.7584429999999998,5.1786283532241075,3.3928967766035774
32,raw,random,fpp,prod-cons inter node,4096,STDIO-pfs,0.017702,MPIIO-pfs,0.026377,STDIO-pfs,0.017702,MPIIO-pfs,0.026377,1.490057620607841,1.490057620607841
